DateofbirthAge,Placeofbirth,Height,Citizenship,Position,Foot,Playeragent,Currentclub,Joined,Contractexpires,SocialMedia,tm_url,Nameinhomecountry,Outfitter,Contractoption,Lastcontractextension,Fullname,Onloanfrom,Contractthereexpires,2ndclub,3ndclub,Dateofdeath
12.05.1996 (29),Thessaloniki,"1,79 m",Greece,Defender - Left-Back,left,Prosport ...,Liverpool FC,10.08.2020,30.06.2027,,https://www.transfermarkt.com/konstantinos-tsimikas/profil/spieler/338070,Κωνσταντίνος Τσιμίκας,adidas,NA,25.09.2023,NA,NA,NA,NA,NA,NA
29.08.2008 (16),London,"1,70 m",England Nigeria,Attack - Left Winger,right,NA,Liverpool FC U21,01.07.2025,30.06.2026,,https://www.transfermarkt.com/rio-ngumoha/profil/spieler/1108466,Rio Bass Ray Ngumoha Adigun,NA,NA,NA,NA,NA,NA,Liverpool FC (#73),Liverpool FC UEFA U19,NA
15.06.1992 (33),"Nagrig, Basyoun","1,75 m",Egypt,Attack - Right Winger,left,NA,Liverpool FC,01.07.2017,30.06.2027,,https://www.transfermarkt.com/mohamed-salah/profil/spieler/148455,Mohamed Salah Hamed Ghaly محمد صلاح,adidas,NA,11.04.2025,NA,NA,NA,NA,NA,NA
04.12.1996,Porto,"1,78 m",Portugal,Attack - Centre-Forward,right,NA,---,NA,NA,,https://www.transfermarkt.com/diogo-jota/profil/spieler/340950,NA,adidas,NA,NA,Diogo José Teixeira da Silva,NA,NA,NA,NA,03.07.2025 (28)
07.10.1996 (28),Udine,"1,94 m",Italy,Goalkeeper,right,GG11,Tottenham Hotspur,01.07.2023,30.06.2028,,https://www.transfermarkt.com/guglielmo-vicario/profil/spieler/286047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20.04.2005 (20),London,NA,England,Defender - Centre-Back,NA,CAA Stellar,Aberdeen FC,19.07.2025,30.06.2026,,https://www.transfermarkt.com/alfie-dorrington/profil/spieler/796300,NA,NA,NA,NA,NA,Tottenham Hotspur U21,30.06.2029,NA,NA,NA
09.08.2000 (25),London,"1,84 m",England Jamaica,Defender - Left-Back,right,CAA Base Ltd,Tottenham Hotspur,19.07.2022,30.06.2029,,https://www.transfermarkt.com/djed-spence/profil/spieler/483348,Diop Tehuti Djed-Hotep Spence,NA,Option for a further year,18.08.2025,NA,NA,NA,NA,NA,NA
14.09.2002 (22),Thiaroye,"1,84 m",Senegal,Midfield - Central Midfield,right,CAA Base Ltd,Tottenham Hotspur,27.08.2021,30.06.2030,,https://www.transfermarkt.com/pape-matar-sarr/profil/spieler/568693,NA,NA,NA,02.01.2024,NA,NA,NA,NA,NA,NA
11.03.2007 (18),London,NA,England Nigeria,Midfield - Central Midfield,right,Truth Sports,Tottenham Hotspur U21,01.07.2024,30.06.2029,NA,https://www.transfermarkt.com/callum-olusesi/profil/spieler/985546,Callum William Olusesi,Nike,NA,02.04.2025,NA,NA,NA,NA,NA,NA
25.04.2000 (25),Stockholm,"1,86 m",Sweden North Macedonia,Midfield - Attacking Midfield,left,World Soccer Agency,Tottenham Hotspur,01.07.2023,30.06.2028,,https://www.transfermarkt.com/dejan-kulusevski/profil/spieler/431755,Дејан Кулушевски,NA,NA,NA,NA,NA,NA,NA,NA,NA
01.10.2008 (16),Luton,"1,75 m",England,Midfield - Attacking Midfield,both,Agent is known - Player under 18,Tottenham Hotspur U18,01.07.2024,30.06.2027,NA,https://www.transfermarkt.com/luca-williams-barnett/profil/spieler/1108475,Luca Jamie Williams-Barnett,Nike,NA,11.07.2025,NA,NA,NA,NA,NA,NA
06.03.1996 (29),Stuttgart,"1,80 m",Germany,Attack - Left Winger,right,Sports360 GmbH,RB Leipzig,09.08.2022,30.06.2026,,https://www.transfermarkt.com/timo-werner/profil/spieler/170527,NA,adidas,NA,NA,NA,NA,NA,NA,NA,NA
28.11.2004 (20),Meaux,"1,82 m",France Martinique,Attack - Left Winger,right,NA,Tottenham Hotspur,16.08.2024,30.06.2029,,https://www.transfermarkt.com/wilson-odobert/profil/spieler/743498,Wilson Serge Eric Odobert,adidas,NA,NA,NA,NA,NA,NA,NA,NA
10.05.1997 (28),Nova Venécia,"1,84 m",Brazil,Attack - Centre-Forward,right,CAA Base Ltd,Tottenham Hotspur,01.07.2022,30.06.2027,,https://www.transfermarkt.com/richarlison/profil/spieler/378710,NA,Nike,NA,NA,Richarlison de Andrade,NA,NA,NA,NA,NA
24.03.2004 (21),London,"1,80 m",England Jamaica,Attack - Centre-Forward,right,CAA Base Ltd,Tottenham Hotspur,01.07.2023,30.06.2027,,https://www.transfermarkt.com/dane-scarlett/profil/spieler/670883,Dane Pharrell Scarlett,Nike,NA,31.08.2023,NA,NA,NA,NA,NA,NA
05.01.2004 (21),Rotterdam,"1,85 m",Netherlands Suriname,Defender - Centre-Back,right,Wasserman,Aston Villa,01.07.2024,-,,https://www.transfermarkt.com/lamare-bogarde/profil/spieler/645686,Lamare Trenton Chansey Bogarde,adidas,NA,07.04.2025,NA,NA,NA,NA,NA,NA
16.12.2005 (19),Smederevo,"1,84 m",Serbia,Defender - Right-Back,right,Friends & Football ...,RB Leipzig,03.02.2025,30.06.2026,,https://www.transfermarkt.com/kosta-nedeljkovic/profil/spieler/848682,Коста Недељковић,Puma,NA,14.07.2025,NA,Aston Villa,30.06.2029,NA,NA,NA
21.01.1996 (29),Palma de Mallorca,"1,82 m",Spain Netherlands,Midfield - Attacking Midfield,left,Gestifute,Paris Saint-Germain,06.07.2023,30.06.2026,,https://www.transfermarkt.com/marco-asensio/profil/spieler/296622,Marco Asensio Willemsen,adidas,NA,NA,NA,NA,NA,NA,NA,NA
31.10.1997 (27),Manchester,"1,85 m",England St. Kitts & Nevis,Attack - Left Winger,right,Relatives,FC Barcelona,23.07.2025,30.06.2026,,https://www.transfermarkt.com/marcus-rashford/profil/spieler/258923,NA,Nike,Option to buy,NA,NA,Manchester United,30.06.2028,NA,NA,NA
09.08.1997 (28),Kingston,"1,78 m",Jamaica,Attack - Right Winger,left,Phoenix Sports ...,AS Roma,20.08.2025,30.06.2026,,https://www.transfermarkt.com/leon-bailey/profil/spieler/387626,Leon Patrick Bailey Butler,Nike,Option to buy,NA,NA,Aston Villa,30.06.2027,NA,NA,NA
30.12.1995 (29),Torquay,"1,80 m",England,Attack - Centre-Forward,right,Two Touch Agency,Aston Villa,09.09.2020,30.06.2028,,https://www.transfermarkt.com/ollie-watkins/profil/spieler/324358,Oliver George Arthur Watkins,Under Armour,NA,06.10.2023,NA,NA,NA,NA,NA,NA
13.12.2003 (21),Medellín,"1,85 m",Colombia,Attack - Centre-Forward,left,JHSEVENSPORTSCOMPANY...,Fenerbahce,06.07.2025,30.06.2026,,https://www.transfermarkt.com/jhon-duran/profil/spieler/649317,Jhon Jader Durán Palacio,NA,NA,NA,NA,Al-Nassr FC,30.06.2030,NA,NA,NA
06.10.1998 (26),Bristol,"1,89 m",England Jamaica,Defender - Centre-Back,left,CSM,Juventus FC,01.07.2025,30.06.2029,,https://www.transfermarkt.com/lloyd-kelly/profil/spieler/480116,Lloyd Casius Kelly,NA,NA,NA,NA,NA,NA,NA,NA,NA
20.12.1991 (33),Wil,"1,86 m",Switzerland,Defender - Centre-Back,right,Sports360 GmbH,Newcastle United,26.07.2018,30.06.2026,,https://www.transfermarkt.com/fabian-schar/profil/spieler/135343,Fabian Lukas Schär,Puma,NA,03.04.2025,NA,NA,NA,NA,NA,NA
08.09.2004 (20),Slough,"1,79 m",England,Defender - Left-Back,left,Wasserman,Newcastle United,01.07.2024,-,,https://www.transfermarkt.com/lewis-hall/profil/spieler/670858,Lewis Kieran Hall,Under Armour,NA,NA,NA,NA,NA,NA,NA,NA
14.08.1996 (29),Aliança,"1,86 m",Brazil,Midfield - Central Midfield,right,ROGON,Newcastle United,23.07.2019,30.06.2028,,https://www.transfermarkt.com/joelinton/profil/spieler/333241,NA,NA,NA,11.04.2024,Joelinton Cassio Apolinário de Lira,NA,NA,NA,NA,NA
01.10.2002 (22),Carlisle,"1,86 m",England,Midfield - Attacking Midfield,left,Wasserman,Leyton Orient,29.07.2025,31.05.2026,,https://www.transfermarkt.com/joe-white/profil/spieler/614811,Joe Peter White,adidas,NA,NA,NA,Newcastle United,30.06.2027,NA,NA,NA
04.08.2003 (22),Aarhus,"1,91 m",Denmark England,Attack - Centre-Forward,right,CAA Stellar,Newcastle United,08.08.2024,30.06.2029,,https://www.transfermarkt.com/william-osula/profil/spieler/609556,William Idamudia Daugaard Osula,NA,NA,NA,NA,NA,NA,NA,NA,NA
12.10.1997 (27),Belgrade,"1,95 m",Serbia,Defender - Centre-Back,right,LIAN Sports Group,Nottingham Forest,18.07.2024,30.06.2029,,https://www.transfermarkt.com/nikola-milenkovic/profil/spieler/413507,Никола Миленковић,Puma,NA,NA,NA,NA,NA,NA,NA,NA
08.06.1993 (32),Vilafranca Del Penedès,"1,79 m",Spain,Defender - Left-Back,left,Gol International,Girona FC,22.08.2025,30.06.2027,,https://www.transfermarkt.com/alex-moreno/profil/spieler/193098,Alexandre Moreno Lopera,NA,NA,NA,NA,NA,NA,NA,NA,NA
13.04.2001 (24),Wrexham,"1,83 m",Wales,Defender - Left-Back,right,Unique Sports Group,Nottingham Forest,10.07.2022,30.06.2029,,https://www.transfermarkt.com/neco-williams/profil/spieler/503680,Neco Shay Williams,Puma,NA,01.07.2025,NA,NA,NA,NA,NA,NA
03.05.2006 (19),Hamburg,"1,85 m",Germany Portugal,Defender - Right-Back,right,Gestifute,Nottingham Forest,01.07.2024,30.06.2028,,https://www.transfermarkt.com/eric-da-silva-moreira/profil/spieler/897481,Eric Emanuel da Silva Moreira,Puma,NA,NA,NA,NA,NA,NA,NA,NA
21.11.1997 (27),Nottingham,"1,90 m",England,Midfield - Central Midfield,right,CAA Base Ltd,Nottingham Forest,01.07.2016,30.06.2028,,https://www.transfermarkt.com/ryan-yates/profil/spieler/425902,Ryan James Yates,NA,NA,25.07.2024,NA,NA,NA,NA,NA,NA
07.12.1991 (33),Auckland,"1,91 m",New Zealand,Attack - Centre-Forward,right,CAA Base Ltd,Nottingham Forest,01.07.2023,30.06.2027,,https://www.transfermarkt.com/chris-wood/profil/spieler/108725,Christopher Grant Wood,NA,NA,23.01.2025,NA,NA,NA,NA,NA,NA
15.11.1997 (27),Abuja,"1,75 m",Nigeria,Attack - Centre-Forward,right,HCM Sports ...,Nottingham Forest,13.08.2022,30.06.2026,,https://www.transfermarkt.com/emmanuel-dennis/profil/spieler/448854,Emmanuel Bonaventure Dennis,NA,NA,NA,NA,NA,NA,NA,NA,NA
30.01.2002 (23),Stockport,"1,88 m",England,Defender - Centre-Back,right,Unique Sports Group,Southampton FC,01.07.2024,30.06.2028,,https://www.transfermarkt.com/taylor-harwood-bellis/profil/spieler/503977,Taylor Jay Harwood-Bellis,NA,NA,NA,NA,NA,NA,NA,NA,NA
12.04.1996 (29),Słupca,"1,89 m",Poland,Defender - Centre-Back,right,Fabryka Futbolu,FC Porto,28.07.2025,30.06.2029,,https://www.transfermarkt.com/jan-bednarek/profil/spieler/243028,Jan Kacper Bednarek,adidas,NA,NA,NA,NA,NA,NA,NA,NA
18.09.1993 (31),York,"1,83 m",England,Defender - Left-Back,left,InterLex Sport,Southampton FC,01.07.2024,30.06.2026,NA,https://www.transfermarkt.com/charlie-taylor/profil/spieler/195633,Charles James Taylor,NA,NA,NA,NA,NA,NA,NA,NA,NA
11.05.2005 (20),Cork,NA,Ireland,Midfield - Central Midfield,NA,Integral Sports ...,Southampton FC U21,12.01.2024,30.06.2027,NA,https://www.transfermarkt.com/joe-obrien-whitmarsh/profil/spieler/741228,Joseph Paul O'Brien-Whitmarsh,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.05.1988 (37),St Albans,"1,72 m",England,Midfield - Attacking Midfield,both,CAA Stellar,Retired,01.07.2025,-,,https://www.transfermarkt.com/adam-lallana/profil/spieler/43530,Adam David Lallana,Puma,NA,NA,NA,NA,NA,NA,NA,NA
15.02.2002 (23),Techiman,"1,75 m",Ghana,Attack - Left Winger,right,Relatives,Atalanta BC,02.07.2025,30.06.2029,,https://www.transfermarkt.com/kamaldeen-sulemana/profil/spieler/746695,NA,NA,Option for a further year,NA,NA,NA,NA,NA,NA,NA
15.03.2007 (18),London,"1,76 m",England,Attack - Left Winger,NA,CAA Stellar,Southampton FC,01.07.2025,30.06.2029,NA,https://www.transfermarkt.com/jay-robinson/profil/spieler/1045124,Jay Steven Robinson,NA,NA,17.04.2025,NA,NA,NA,NA,NA,NA
18.07.2006 (19),London,"1,74 m",England Ghana,Attack - Right Winger,left,Two Touch Agency,RC Strasbourg Alsace,01.07.2025,30.06.2029,,https://www.transfermarkt.com/samuel-amo-ameyaw/profil/spieler/933900,Samuel Christian Osaze Amo-Ameyaw,NA,NA,NA,NA,NA,NA,NA,NA,NA
22.03.1997 (28),Colina,"1,87 m",Italy Brazil,Defender - Centre-Back,right,AIS Football,Rayo Vallecano,07.07.2025,30.06.2026,,https://www.transfermarkt.com/luiz-felipe/profil/spieler/457931,NA,adidas,NA,NA,Luiz Felipe Ramos Marchi,NA,NA,NA,NA,NA
25.11.1997 (27),"Ajax, Ontario","1,87 m",Canada Jamaica,Defender - Centre-Back,left,Axia Sports ...,Olympique Marseille,04.08.2024,30.06.2028,,https://www.transfermarkt.com/derek-cornelius/profil/spieler/328609,Derek Austin Cornelius,NA,NA,NA,NA,NA,NA,NA,NA,NA
13.08.1997 (28),Mollet del Vallès,"1,83 m",Spain,Defender - Right-Back,right,Universal Twenty Two,Olympique Marseille,23.08.2021,30.06.2026,,https://www.transfermarkt.com/pol-lirola/profil/spieler/298975,Pol Mikel Lirola Kosok,Nike,NA,NA,NA,NA,NA,NA,NA,NA
30.04.2003 (22),London,"1,73 m",England Jamaica,Attack - Left Winger,right,Unique Sports Group,Bologna FC 1909,24.08.2025,30.06.2029,,https://www.transfermarkt.com/jonathan-rowe/profil/spieler/672381,Jonathan David Henry Rowe,NA,NA,NA,NA,NA,NA,NA,NA,NA
01.10.2001 (23),Bradford,"1,81 m",England,Attack - Right Winger,both,Relatives,Olympique Marseille,18.07.2024,30.06.2029,,https://www.transfermarkt.com/mason-greenwood/profil/spieler/532826,Mason Will John Greenwood,NA,NA,NA,NA,NA,NA,NA,NA,NA
05.04.2006 (19),Marseille,"1,85 m",France Mayotte,Attack - Right Winger,left,AS1,Olympique de Marseille B,01.07.2024,30.06.2028,NA,https://www.transfermarkt.com/keyliane-abdallah/profil/spieler/1183719,Keyliane Hikram Abdallah,NA,NA,21.02.2025,NA,NA,NA,Olympique Marseille (#48),NA,NA
06.11.2001 (23),Calais,"1,89 m",France,Goalkeeper,right,Beckster Int.,Paris Saint-Germain,09.08.2025,30.06.2030,,https://www.transfermarkt.com/lucas-chevalier/profil/spieler/463600,NA,adidas,NA,NA,NA,NA,NA,NA,NA,NA
21.07.2005 (20),Ajaccio,"1,90 m",France,Goalkeeper,right,NA,SC Bastia,02.07.2025,30.06.2026,NA,https://www.transfermarkt.com/lisandru-olmeta/profil/spieler/810789,NA,Uhlsport,NA,NA,NA,LOSC Lille,30.06.2028,NA,NA,NA
20.06.2000 (25),Purmerend,"1,89 m",Netherlands,Defender - Left-Back,left,Team Raiola,Atalanta BC,07.07.2023,30.06.2027,,https://www.transfermarkt.com/mitchel-bakker/profil/spieler/361065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23.07.2002 (23),Lisboa,"1,75 m",Portugal,Defender - Right-Back,right,Gestifute,LOSC Lille,05.07.2023,30.06.2029,,https://www.transfermarkt.com/tiago-santos/profil/spieler/816580,Tiago Carvalho Santos,NA,NA,29.10.2024,NA,NA,NA,NA,NA,NA
28.04.2005 (20),Tourcoing,"1,70 m",France,Defender - Right-Back,right,NA,LOSC Lille B,01.07.2024,30.06.2026,,https://www.transfermarkt.com/morgan-costarelli/profil/spieler/1119911,NA,NA,NA,23.07.2025,NA,NA,NA,NA,NA,NA
29.12.2006 (18),Montreuil,"1,80 m",France Cameroon,Midfield - Central Midfield,left,NA,LOSC Lille,04.07.2024,30.06.2027,,https://www.transfermarkt.com/ethan-mbappe/profil/spieler/903666,Ethan Mbappé Lottin,Nike,NA,NA,NA,NA,NA,NA,NA,NA
17.09.1996 (28),Šibenik,"1,93 m",Croatia,Defender - Centre-Back,right,ROOF,Real Sociedad,01.08.2025,30.06.2026,,https://www.transfermarkt.com/duje-caleta-car/profil/spieler/238266,Duje Ćaleta-Car,NA,Option to buy,NA,NA,Olympique Lyon,30.06.2027,NA,NA,NA
07.11.1992 (32),Verviers,"1,80 m",Angola Belgium,Defender - Centre-Back,right,Trois Akademie,Olympique Lyon,06.07.2023,30.06.2028,,https://www.transfermarkt.com/clinton-mata/profil/spieler/187718,Clinton Mukoni Mata Pedro Lourenço,NA,NA,13.08.2025,NA,NA,NA,NA,NA,NA
30.09.2004 (20),Viriat,"1,85 m",Croatia France,Defender - Right-Back,right,AS1,Olympique Lyon B,01.07.2022,30.06.2028,NA,https://www.transfermarkt.com/teo-barisic/profil/spieler/979773,NA,NA,NA,07.07.2025,NA,NA,NA,NA,NA,NA
17.02.2005 (20),Longjumeau,"1,87 m",France Mali,Midfield - Central Midfield,left,NA,Olympique Lyon,01.07.2023,30.06.2028,,https://www.transfermarkt.com/mahamadou-diawara/profil/spieler/1053147,NA,adidas,NA,12.06.2024,NA,NA,NA,NA,NA,NA
04.03.1993 (32),Malestroit,"1,88 m",France,Goalkeeper,right,SVF FOOT,OGC Nice,28.01.2024,30.06.2026,,https://www.transfermarkt.com/maxime-dupe/profil/spieler/127188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01.02.1999 (26),Zagazig,"1,83 m",Egypt,Defender - Centre-Back,right,NA,OGC Nice,29.08.2024,30.06.2028,,https://www.transfermarkt.com/mohamed-abdelmonem/profil/spieler/566025,محمد عبد المنعم,NA,NA,NA,NA,NA,NA,NA,NA,NA
18.10.1983 (41),Salvador da Bahia,"1,88 m",Brazil,Defender - Centre-Back,left,Marcus Marin,OGC Nice,23.08.2016,30.06.2026,,https://www.transfermarkt.com/dante/profil/spieler/16136,NA,Puma,NA,13.02.2025,Dante Bonfim Costa Santos,NA,NA,NA,NA,NA
27.05.2004 (21),Marseille,"1,87 m",Senegal France,Defender - Right-Back,right,Wasserman,OGC Nice,01.07.2022,30.06.2028,NA,https://www.transfermarkt.com/antoine-mendy/profil/spieler/891998,Antoine Alpha Mendy,NA,NA,26.08.2024,NA,NA,NA,NA,NA,NA
18.11.2008 (16),Pontoise,"1,73 m",France Mali,Midfield - Central Midfield,right,NA,OGC Nice,01.07.2025,-,NA,https://www.transfermarkt.com/djibril-coulibaly/profil/spieler/1208968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
03.01.1997 (28),Marseille,"1,72 m",Cote d'Ivoire France,Attack - Left Winger,right,Sport Cover,OGC Nice,25.07.2023,30.06.2027,,https://www.transfermarkt.com/jeremie-boga/profil/spieler/216569,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
09.06.2000 (25),Tours,"1,75 m",Morocco France,Attack - Left Winger,right,no agent,OGC Nice,29.08.2022,30.06.2027,,https://www.transfermarkt.com/sofiane-diop/profil/spieler/569389,سفيان داودا ديوب,adidas,NA,NA,NA,NA,NA,NA,NA,NA
16.12.1997 (27),Madrid,"1,75 m",Spain Equatorial Guinea,Defender - Left-Back,left,AS1,Stade Reims,01.02.2024,30.06.2028,,https://www.transfermarkt.com/sergio-akieme/profil/spieler/355627,Sergio Akieme Rodríguez,NA,NA,NA,NA,NA,NA,NA,NA,NA
27.02.2006 (19),Creil,"1,78 m",France Congo,Defender - Left-Back,left,One Team Football,Paris FC,01.07.2025,30.06.2030,,https://www.transfermarkt.com/nhoa-sangui/profil/spieler/955281,Nhoa Ryan Sangui,NA,NA,NA,NA,NA,NA,NA,NA,NA
02.12.2003 (21),Épernay,"1,80 m",France,Midfield - Central Midfield,right,NA,ESTAC Troyes,30.08.2024,30.06.2027,,https://www.transfermarkt.com/martin-adeline/profil/spieler/814976,Martin Gabriel Belaïd Adeline,adidas,NA,NA,NA,NA,NA,NA,NA,NA
17.08.2002 (23),Preston,"1,90 m",England,Defender - Centre-Back,right,Blue Sky Sports,FC Toulouse,08.07.2024,30.06.2028,,https://www.transfermarkt.com/charlie-cresswell/profil/spieler/597659,Charlie Richard Cresswell,NA,NA,NA,NA,NA,NA,NA,NA,NA
05.06.2005 (20),Toulouse,"1,79 m",France Algeria,Defender - Left-Back,left,VV Consulting,Stade Lavallois,26.08.2025,30.06.2026,,https://www.transfermarkt.com/ylies-aradj/profil/spieler/923758,NA,adidas,NA,NA,NA,FC Toulouse,30.06.2026,NA,NA,NA
20.01.2000 (25),Caracas,"1,76 m",Venezuela,Midfield - Central Midfield,right,T&C,FC Toulouse,07.07.2023,30.06.2027,,https://www.transfermarkt.com/cristian-casseres-jr-/profil/spieler/467632,Cristian Sleiker Cásseres Yépes,NA,NA,NA,NA,NA,NA,NA,NA,NA
01.03.1998 (27),Kassel,"1,84 m",Germany,Midfield - Central Midfield,both,SEG,FC Toulouse,04.08.2023,30.06.2027,NA,https://www.transfermarkt.com/niklas-schmidt/profil/spieler/275249,Niklas Uwe Schmidt,Nike,NA,NA,NA,NA,NA,NA,NA,NA
