Fullname,DateofbirthAge,Placeofbirth,Height,Citizenship,Position,Foot,Playeragent,Currentclub,Joined,Contractexpires,Lastcontractextension,Outfitter,SocialMedia,tm_url,Nameinhomecountry,2ndclub,Onloanfrom,Contractthereexpires,source_url,Contractoption,3ndclub
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/alexander-sorloth/profil/spieler/238407,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/omar-janneh/profil/spieler/1060454,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/adrian-nino/profil/spieler/926849,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/borja-garces/profil/spieler/566036,NA,NA
NA,11.06.1997 (28),Vitoria-Gasteiz,"1,90 m",Spain,Goalkeeper,right,CAA Stellar,Athletic Bilbao,01.07.2018,30.06.2029,24.05.2024,NA,,https://www.transfermarkt.com/unai-simon/profil/spieler/262396,Unai Simón Mendibil,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/julen-agirrezabala/profil/spieler/625014,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/alex-padilla/profil/spieler/834483,NA,NA
NA,30.10.2003 (21),Altsasu,"1,90 m",Spain,Goalkeeper,right,RGFOOTBALL,Arenas Club,21.07.2025,30.06.2026,NA,NA,NA,https://www.transfermarkt.com/oier-gastesi/profil/spieler/938722,Oier Gastesi Serrano,NA,Bilbao Athletic,-,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/dani-vivian/profil/spieler/524000,NA,NA
NA,29.04.2000 (25),Bilbao,"1,85 m",Spain,Defender - Centre-Back,right,CAA Stellar,Athletic Bilbao,01.07.2022,30.06.2029,21.03.2024,NA,,https://www.transfermarkt.com/aitor-paredes/profil/spieler/591916,Aitor Paredes Casamichana,NA,NA,NA,NA,NA,NA
